Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,OBV,Volume_MA_20
2005-04-01 00:00:00-05:00,16.83954506014183,16.915962562293185,16.74228738470298,16.756181716918945,64619600,0.0,0.0,0,
2005-04-04 00:00:00-04:00,16.749230594315836,16.85343541124746,16.631131448450365,16.83259391784668,62196400,0.0,0.0,62196400,
2005-04-05 00:00:00-04:00,16.82564585657879,17.020162476176655,16.756176865684477,16.99932098388672,73549600,0.0,0.0,135746000,
2005-04-06 00:00:00-04:00,16.999321161729615,17.325831252507466,16.985428158427045,17.138261795043945,78020200,0.0,0.0,213766200,
2005-04-07 00:00:00-04:00,17.131312638452155,17.457821366219996,17.11047114836811,17.436981201171875,77451500,0.0,0.0,291217700,
2005-04-08 00:00:00-04:00,17.416144774172032,17.54119110095694,17.30499277814907,17.325834274291992,47956300,0.0,0.0,243261400,
2005-04-11 00:00:00-04:00,17.38835886851854,17.4439348711032,17.270259697396593,17.346675872802734,47791800,0.0,0.0,291053200,
2005-04-12 00:00:00-04:00,17.31193897987828,17.610660449450574,17.228574324983317,17.589818954467773,67517800,0.0,0.0,358571000,
2005-04-13 00:00:00-04:00,17.527292043029906,17.68012699011865,17.360564093962513,17.395299911499023,60929300,0.0,0.0,297641700,
2005-04-14 00:00:00-04:00,17.374460148988447,17.46477063349348,17.249413843492185,17.25636100769043,66754400,0.0,0.0,230887300,
2005-04-15 00:00:00-04:00,17.075742900647317,17.298046909356202,16.957643730391172,16.99237823486328,100251600,0.0,0.0,130635700,
2005-04-18 00:00:00-04:00,16.985429349580755,17.25636214600398,16.95069352629818,17.12436866760254,75766400,0.0,0.0,206402100,
2005-04-19 00:00:00-04:00,17.166057276912337,17.228580459085396,16.985436222897626,17.11048126220703,65956200,0.0,0.0,140445900,
2005-04-20 00:00:00-04:00,17.13131122600097,17.159099877155235,16.881218665755878,16.895112991333008,91923500,0.0,0.0,48522400,
2005-04-21 00:00:00-04:00,17.006269544201228,17.63844695350107,16.99932237953422,17.562030792236328,93562300,0.0,0.0,142084700,
2005-04-22 00:00:00-04:00,17.402243620694023,17.541184223767885,17.214675529090833,17.353614807128906,80087500,0.0,0.0,61997200,
2005-04-25 00:00:00-04:00,17.416144998972975,17.56203282378387,17.27025849919841,17.36056900024414,75457900,0.0,0.0,137455100,
2005-04-26 00:00:00-04:00,17.332780072329392,17.5411897171724,17.186892260910316,17.200786590576172,60464300,0.0,0.0,76990800,
2005-04-27 00:00:00-04:00,17.13131783985816,17.47172099770181,17.110476343446223,17.36056900024414,47732800,0.0,0.0,124723600,
2005-04-28 00:00:00-04:00,17.242464364747754,17.31193467236877,16.978478785830987,16.98542594909668,83623100,0.0,0.0,41100500,71080625.0
2005-04-29 00:00:00-04:00,17.284149626799973,17.575923919677734,17.221627794431196,17.575923919677734,98641200,0.0,0.0,139741700,72781705.0
2005-05-02 00:00:00-04:00,17.52728843688965,17.617600218867487,17.332773198849406,17.52728843688965,54376700,0.0,0.0,85365000,72390720.0
2005-05-03 00:00:00-04:00,17.457828756517866,17.645398271568972,17.430041416345382,17.617610931396484,67867800,0.0,0.0,153232800,72106630.0
2005-05-04 00:00:00-04:00,17.60371476633444,17.645396434772564,17.443933933124686,17.513402938842773,86864200,0.0,0.0,66368600,72548830.0
